time,P,Q,R,Phi,The,Psi,U,V,W,X,Y,Z,RPM1,RPM2,RPM3,RPM4,mc1,mc2,mc3,mc4,Phi_cmd,The_cmd,Psi_cmd,Alt_cmd
1.02,0,0,0,0,0,0,0,0,0.0212356739760343,0,0,2.99385890973545,4117.25470678793,4117.25470678793,4117.25470678793,4117.25470678793,38.9691083316586,38.9691083316586,38.9691083316586,38.9691083316586,0,0,0,3.048
1.04,0,0,0,0,0,0,0,0,0.022084299951161,0,0,2.99429214174157,4117.04574868172,4117.04574868172,4117.04574868172,4117.04574868172,38.9665946532593,38.9665946532593,38.9665946532593,38.9665946532593,0,0,0,3.048
1.06,0,0,0,0,0,0,0,0,0.0229130059796749,0,0,2.99474214679126,4116.83864830218,4116.83864830218,4116.83864830218,4116.83864830218,38.9641037438318,38.9641037438318,38.9641037438318,38.9641037438318,0,0,0,3.048
1.08,0,0,0,0,0,0,0,0,0.0237219705551667,0,0,2.99520852827182,4116.63339738116,4116.63339738116,4116.63339738116,4116.63339738116,38.961635441664,38.961635441664,38.961635441664,38.961635441664,0,0,0,3.048
1.1,0,0,0,0,0,0,0,0,0.0245113712999102,0,0,2.99569089313186,4116.42998659399,4116.42998659399,4116.42998659399,4116.42998659399,38.9591895892944,38.9591895892944,38.9591895892944,38.9591895892944,0,0,0,3.048
1.12,0,0,0,0,0,0,0,0,0.0252813848803421,0,0,2.99618885186294,4116.22840588737,4116.22840588737,4116.22840588737,4116.22840588737,38.9567660338057,38.9567660338057,38.9567660338057,38.9567660338057,0,0,0,3.048
1.14,0,0,0,0,0,0,0,0,0.0260321869504044,0,0,2.9967020184799,4116.02864473553,4116.02864473553,4116.02864473553,4116.02864473553,38.9543646270176,38.9543646270176,38.9543646270176,38.9543646270176,0,0,0,3.048
1.16,0,0,0,0,0,0,0,0,0.0267639521166189,0,0,2.99723001050019,4115.8306923397,4115.8306923397,4115.8306923397,4115.8306923397,38.9519852256014,38.9519852256014,38.9519852256014,38.9519852256014,0,0,0,3.048
1.18,0,0,0,0,0,0,0,0,0.0274768539200405,0,0,2.99777244892278,4115.63453778266,4115.63453778266,4115.63453778266,4115.63453778266,38.9496276911311,38.9496276911311,38.9496276911311,38.9496276911311,0,0,0,3.048
1.2,0,0,0,0,0,0,0,0,0.0281710648312568,0,0,2.99832895820669,4115.44017014791,4115.44017014791,4115.44017014791,4115.44017014791,38.9472918900875,38.9472918900875,38.9472918900875,38.9472918900875,0,0,0,3.048
1.22,0,0,0,0,0,0,0,0,0.0288467562554063,0,0,2.99889916624973,4115.24757861083,4115.24757861083,4115.24757861083,4115.24757861083,38.9449776938241,38.9449776938241,38.9449776938241,38.9449776938241,0,0,0,3.048
1.24,0,0,0,0,0,0,0,0,0.0295040985448226,0,0,2.99948270436722,4115.0567525077,4115.0567525077,4115.0567525077,4115.0567525077,38.9426849785046,38.9426849785046,38.9426849785046,38.9426849785046,0,0,0,3.048
1.26,0,0,0,0,0,0,0,0,0.0301432610174173,0,0,3.00007920727116,4114.86768138733,4114.86768138733,4114.86768138733,4114.86768138733,38.9404136250182,38.9404136250182,38.9404136250182,38.9404136250182,0,0,0,3.048
1.28,0,0,0,0,0,0,0,0,0.0307644119793142,0,0,3.00068831304973,4114.6803550489,4114.6803550489,4114.6803550489,4114.6803550489,38.9381635188776,38.9381635188776,38.9381635188776,38.9381635188776,0,0,0,3.048
1.3,0,0,0,0,0,0,0,0,0.0313677187505628,0,0,3.00130966314735,4114.494763569,4114.494763569,4114.494763569,4114.494763569,38.9359345501056,38.9359345501056,38.9359345501056,38.9359345501056,0,0,0,3.048
1.32,0,0,0,0,0,0,0,0,0.0319533476930084,0,0,3.00194290234519,4114.31089732018,4114.31089732018,4114.31089732018,4114.31089732018,38.933726613111,38.933726613111,38.933726613111,38.933726613111,0,0,0,3.048
1.34,0,0,0,0,0,0,0,0,0.0325214642395948,0,0,3.00258767874234,4114.12874698277,4114.12874698277,4114.12874698277,4114.12874698277,38.9315396065594,38.9315396065594,38.9315396065594,38.9315396065594,0,0,0,3.048
1.36,0,0,0,0,0,0,0,0,0.0330722329245335,0,0,3.00324364373747,4113.94830355156,4113.94830355156,4113.94830355156,4113.94830355156,38.9293734332379,38.9293734332379,38.9293734332379,38.9293734332379,0,0,0,3.048
1.38,0,0,0,0,0,0,0,0,0.0336058174138942,0,0,3.00391045201126,4113.76955833829,4113.76955833829,4113.76955833829,4113.76955833829,38.9272279999186,38.9272279999186,38.9272279999186,38.9272279999186,0,0,0,3.048
